Trial,pp,ID,Condition,Amp,R2PC2byPC1,BPMmode,H,q1,q2,Speed,PathLength,OscTimeProp
1,15,17,1,42,0.683221840597495,43.9044775743511,7.35361429770435,138790.209443245,4285552.25246761,181.996908193478,12631.1294289377,0.853892432261275
1,16,18,1,24.6666666666667,0.716217623140451,92.6793502685687,7.37708510798153,171928.525469001,3602006.712297,203.338578105761,13254.6137855775,0.866695833613785
1,17,19,1,24.6666666666667,0.31075362210172,67.247295606876,7.04526556247292,36369.7251586416,2220231.25484854,141.195310034158,9181.41580219026,0.779144736842105
1,18,20,1,24.6666666666667,0.816636246059764,0,6.42392728868186,18781.955130019,713867.269151495,80.9126250539064,7481.3633389899,0.198426026540222
1,19,21,1,24.6666666666667,0.392342961157374,14.6547835414014,6.60321122472785,25532.1620740157,1004085.93870319,86.6971581163869,6080.27987888903,0.338026315789474
1,20,22,1,24.6666666666667,0.408579390440565,0,6.39944147386763,13123.4324083143,817721.508993304,67.758234052083,5153.83424553286,0.215230263157895
1,21,23,1,82.0939334637965,0.238425049312152,17.6856978160837,6.14351416454241,13325.4967880266,694043.608998419,47.5205174106806,4166.99528394883,0.242565789473684
1,22,24,1,53.600782778865,0.492021597074889,44.3308621892287,6.98933709059885,77247.1381179833,2760911.61452724,97.3980341228238,8666.78517075341,0.678947368421053
1,23,25,1,30.9448818897638,0.585686758201231,23.3701013382152,6.609251894594,33647.4273125802,1112189.86160705,85.1231000720409,6455.50031271244,0.474276315789474
1,24,26,1,57.6712328767123,0.365882262949561,48.6465394605258,6.73563464872822,40068.2193936541,1352092.66614963,94.7068830096939,6843.1303737542,0.581588737325844
1,25,27,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,26,28,1,24.6666666666667,0.810707937362741,0,6.45621246567754,11024.4247460227,805672.966994006,88.866825018364,5791.44567193796,0.228948062219879
1,27,30,1,24.6666666666667,0.511758631604934,53.5376579240529,7.25683242552264,118078.946158979,3714367.54041823,181.433617040716,12378.2627166738,0.747072368421053
1,28,31,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,29,32,1,24.6666666666667,0.125071115324114,149.355103184702,7.51816899586327,170924.414383759,5002420.66580669,221.223952948481,13891.489824905,0.870690789473684
1,30,33,1,24.6666666666667,0.60764989800721,30.1553476095829,6.81554642478297,44567.0567408412,1574894.85536537,99.778166543549,7106.21558849286,0.460812720848057
1,31,34,1,99.3933463796477,0.39004444250098,48.3108972705264,6.83240882522854,41614.7964669054,1625989.64730825,117.260570772099,8717.48185557696,0.779222781947157
1,32,35,1,90.2348336594912,0.593542719855923,33.1070724440885,6.58478619600749,22036.4898258605,932627.166075654,96.9375157617881,7520.26043078046,0.539983902277354
1,33,36,1,52.5831702544031,0.425332146179295,0,5.89455867613592,1966.62285052795,329493.349549795,61.0613659583799,4804.99229752888,0.0464992420828383
1,34,38,1,59.3333333333333,0.351812829360819,81.1551732359057,7.2412168328626,74505.1188783288,3336677.9744412,160.392731240014,10858.1628989847,0.843216683545253
1,35,39,1,24.6666666666667,0.153894507607891,66.4794085620076,7.09632557834308,59769.9067258034,1961816.58018383,167.478525800838,11030.1084820926,0.803125
1,36,41,1,24.6666666666667,0.161913972820519,92.7862760589283,7.4256697683622,155410.937187741,4223319.46440415,206.862950670104,13277.9285593022,0.826019736842105
1,37,46,1,66.8297455968689,0.728255434535719,0,6.14931194815423,14246.9727210591,736141.366627783,85.3820766421406,9574.24053605304,0.207769815184008
